userid,version,sum_gamerounds,retention_1,retention_7
64849,gate_40,31,1,0
64930,gate_30,510,1,0
64944,gate_40,62,0,0
66509,gate_30,46,1,0
68020,gate_40,52,0,1
68151,gate_40,136,1,0
68394,gate_40,474,1,1
68698,gate_40,83,1,0
68915,gate_40,121,0,0
68965,gate_40,105,1,1
69392,gate_30,46,0,0
69649,gate_40,80,1,1
69870,gate_40,210,1,1
69927,gate_30,1906,1,1
70175,gate_40,35,1,1
70294,gate_40,199,1,0
71119,gate_30,118,1,1
71161,gate_40,68,1,0
71165,gate_40,105,1,0
71235,gate_30,38,1,0
72085,gate_40,103,1,0
72164,gate_30,259,1,1
72555,gate_30,298,1,1
73378,gate_40,34,1,0
74377,gate_30,53,1,0
74422,gate_40,38,0,1
75029,gate_40,98,1,0
76133,gate_30,50,0,0
76549,gate_30,149,0,1
76662,gate_40,30,1,0
76784,gate_40,53,1,0
76917,gate_30,113,1,0
77495,gate_40,59,0,0
77731,gate_30,106,1,1
77850,gate_30,59,1,0
78089,gate_30,47,0,0
78183,gate_30,34,1,0
78563,gate_40,32,0,0
79646,gate_40,34,1,0
80282,gate_30,128,1,1
80526,gate_30,34,0,1
80634,gate_40,215,1,1
80860,gate_40,231,1,0
81447,gate_30,34,0,0
81524,gate_30,34,1,0
82064,gate_30,41,1,0
82545,gate_40,36,0,0
82783,gate_40,36,1,1
83438,gate_40,129,1,1
83732,gate_40,95,0,1
83798,gate_40,96,1,0
84100,gate_30,160,1,0
85007,gate_40,110,1,1
85277,gate_30,61,1,1
86821,gate_40,65,1,0
87258,gate_40,275,1,1
87419,gate_30,46,0,0
87542,gate_30,40,1,0
87827,gate_30,37,1,0
88361,gate_40,55,0,1
88497,gate_30,197,1,1
88521,gate_40,44,0,0
88907,gate_30,133,1,0
90640,gate_30,44,0,1
90755,gate_30,76,1,0
90892,gate_30,52,1,0
90916,gate_40,88,1,1
90979,gate_30,36,1,0
90992,gate_40,66,1,0
91010,gate_40,70,0,0
91045,gate_40,44,0,0
92061,gate_40,98,1,0
92638,gate_40,54,0,0
93646,gate_30,33,0,0
94159,gate_30,79,1,1
94455,gate_40,35,1,1
94904,gate_30,43,1,0
95033,gate_30,42,1,0
95371,gate_30,282,1,1
95696,gate_40,42,0,1
96038,gate_40,132,0,1
96058,gate_30,49,1,1
96076,gate_30,95,1,1
96471,gate_30,183,1,0
96561,gate_40,112,1,1
96675,gate_30,70,1,1
96744,gate_30,332,1,1
96745,gate_40,100,1,1
97308,gate_30,798,1,1
97777,gate_40,41,1,0
97849,gate_30,81,1,1
97873,gate_40,49,1,0
97971,gate_30,142,1,1
98151,gate_30,31,0,0
98354,gate_40,35,0,0
99252,gate_40,48,1,0
99583,gate_40,35,1,0
99928,gate_40,83,1,0
100084,gate_30,143,0,1
100151,gate_40,39,1,1
100214,gate_40,114,1,1
100367,gate_30,71,1,0
100556,gate_40,63,1,1
100585,gate_30,75,1,0
101041,gate_30,95,1,0
101591,gate_30,186,1,1
101601,gate_30,50,1,0
101664,gate_30,129,1,0
101864,gate_40,30,0,0
101915,gate_30,164,1,1
102302,gate_40,78,0,1
102540,gate_30,249,1,1
102573,gate_40,34,0,0
103095,gate_40,47,1,0
103414,gate_30,345,1,0
103498,gate_30,50,1,1
103557,gate_40,57,1,0
104157,gate_40,59,1,0
104211,gate_30,51,0,0
104577,gate_30,546,1,1
104592,gate_40,45,0,0
104694,gate_30,82,0,1
104796,gate_30,394,1,1
104899,gate_40,227,1,1
104999,gate_40,258,0,1
105277,gate_30,56,1,0
105632,gate_40,52,0,0
106600,gate_30,375,1,1
107040,gate_40,57,1,0
107563,gate_30,39,0,0
107981,gate_30,51,1,0
108134,gate_30,54,0,1
108454,gate_30,35,0,1
108535,gate_40,39,0,0
109151,gate_40,109,1,0
109158,gate_40,106,1,0
109366,gate_40,158,1,1
109431,gate_30,60,1,0
109578,gate_30,35,0,0
109991,gate_30,519,1,1
110004,gate_30,73,1,0
111196,gate_40,52,1,0
111362,gate_40,56,1,0
111382,gate_40,42,1,1
111961,gate_40,34,0,0
112216,gate_40,77,0,0
112365,gate_40,41,1,0
112718,gate_30,553,1,1
113087,gate_40,260,1,1
113325,gate_30,86,1,1
113378,gate_40,47,0,1
113462,gate_30,175,1,0
113621,gate_40,44,1,1
113666,gate_30,81,1,1
113725,gate_40,47,1,0
113800,gate_30,37,1,0
115234,gate_30,123,0,1
115498,gate_40,104,1,0
116002,gate_30,281,1,1
116247,gate_30,240,0,1
116382,gate_40,69,1,1
116423,gate_30,33,0,0
116590,gate_30,45,1,0
116793,gate_40,275,1,1
117026,gate_30,317,1,0
117242,gate_30,90,1,0
117700,gate_40,90,1,0
117868,gate_30,190,1,0
117992,gate_30,142,1,1
118189,gate_30,50,0,0
118654,gate_40,192,0,1
119209,gate_40,343,0,1
119742,gate_30,191,1,1
120587,gate_30,45,0,0
121148,gate_40,52,0,0
121303,gate_30,1374,1,1
122299,gate_40,65,0,0
122533,gate_30,199,1,1
122817,gate_40,74,1,0
122975,gate_30,197,1,1
122981,gate_30,40,0,0
123121,gate_40,66,1,0
123318,gate_40,48,1,0
123638,gate_30,50,1,0
123937,gate_40,39,1,0
124379,gate_40,124,0,1
124702,gate_30,93,1,1
124729,gate_30,41,1,0
125058,gate_30,38,1,0
125379,gate_30,91,1,1
125523,gate_30,344,1,1
125735,gate_40,73,0,0
125925,gate_30,51,1,0
125996,gate_40,33,1,1
126043,gate_40,142,1,0
126289,gate_30,44,1,0
126418,gate_40,44,1,0
126645,gate_30,222,1,1
127487,gate_30,200,1,1
127794,gate_30,35,0,0
128346,gate_30,43,1,0
128547,gate_40,64,0,0
128817,gate_30,399,0,1
128956,gate_30,60,1,0
128989,gate_40,216,1,0
129110,gate_40,42,1,0
129260,gate_30,129,0,1
130391,gate_30,33,0,0
130412,gate_30,38,0,0
130417,gate_40,36,1,1
130572,gate_40,55,1,0
130879,gate_30,159,1,1
131358,gate_40,69,1,1
131740,gate_30,74,1,0
132330,gate_30,113,1,0
132919,gate_40,36,1,0
132928,gate_40,139,1,1
132961,gate_40,79,1,0
133088,gate_30,50,1,0
133577,gate_30,331,1,1
134380,gate_40,117,1,0
134621,gate_40,40,1,0
134763,gate_40,32,1,0
134885,gate_30,432,1,1
135220,gate_40,148,1,1
135693,gate_30,149,1,1
135978,gate_30,80,0,1
137177,gate_30,45,0,0
137380,gate_40,43,1,1
137445,gate_40,284,1,1
137570,gate_30,181,1,1
137865,gate_30,39,1,0
138070,gate_40,32,1,0
138234,gate_30,75,1,1
138392,gate_40,34,1,0
138886,gate_30,59,1,1
138891,gate_30,231,1,1
139072,gate_40,681,0,1
139264,gate_30,311,1,1
139581,gate_40,103,1,1
139772,gate_30,80,0,1
140041,gate_30,70,1,1
140734,gate_30,51,0,1
140907,gate_30,81,1,0
141163,gate_30,44,1,0
141449,gate_40,124,0,1
141698,gate_40,36,0,0
142359,gate_40,66,1,1
142413,gate_40,35,1,0
142985,gate_40,57,1,1
143939,gate_40,57,1,0
144120,gate_30,52,1,0
144571,gate_40,87,1,1
144664,gate_30,45,1,0
145225,gate_40,75,1,1
145763,gate_40,30,0,1
145852,gate_30,186,1,1
145938,gate_30,53,1,0
146715,gate_40,134,1,1
146898,gate_30,347,1,1
147246,gate_40,95,1,0
147292,gate_40,76,0,1
147685,gate_40,71,1,0
148166,gate_30,211,1,0
148358,gate_30,137,0,1
148772,gate_40,30,1,0
148811,gate_40,49,0,0
148974,gate_40,50,1,0
149272,gate_40,42,0,1
149574,gate_30,60,1,0
149721,gate_40,30,1,0
149805,gate_40,35,1,1
149896,gate_40,116,1,1
150039,gate_30,503,1,0
150056,gate_40,70,0,0
150076,gate_40,45,1,1
150102,gate_40,74,1,0
150178,gate_40,60,0,1
150398,gate_40,169,1,1
150547,gate_40,42,0,0
150648,gate_30,35,0,1
150818,gate_40,43,1,0
150861,gate_40,185,1,0
151297,gate_40,34,1,0
151367,gate_30,222,1,1
151588,gate_40,32,1,1
152596,gate_30,31,1,0
152824,gate_40,62,1,0
154098,gate_40,118,1,0
154490,gate_40,117,1,1
154658,gate_40,37,1,0
155665,gate_40,87,1,0
155726,gate_40,103,1,1
156220,gate_30,212,1,1
156403,gate_40,31,1,0
156697,gate_30,762,1,1
156990,gate_40,49,0,1
157168,gate_40,32,1,0
157584,gate_30,62,1,0
157879,gate_40,313,1,1
158094,gate_30,42,1,0
158459,gate_40,57,1,1
158595,gate_40,33,1,0
158679,gate_30,43,1,0
158820,gate_40,294,1,0
159068,gate_30,37,0,0
159569,gate_40,41,1,0
159871,gate_40,141,1,0
160152,gate_30,44,0,0
160191,gate_30,58,1,0
160268,gate_30,384,1,1
160315,gate_30,41,1,0
160706,gate_30,32,1,0
162085,gate_30,253,1,1
162205,gate_30,35,1,1
163067,gate_40,32,1,0
163075,gate_40,93,1,1
163195,gate_40,109,1,1
163209,gate_30,53,0,1
163279,gate_40,79,1,0
163689,gate_40,331,1,1
163912,gate_40,114,1,0
164057,gate_40,30,1,0
164319,gate_30,144,1,0
164413,gate_30,64,1,0
164652,gate_40,59,1,0
165565,gate_30,409,1,1
165633,gate_30,45,1,0
165967,gate_40,56,0,0
166349,gate_30,75,0,1
166972,gate_40,83,1,0
167120,gate_30,32,1,1
167220,gate_40,31,0,0
167446,gate_30,343,0,1
167625,gate_40,37,1,0
168191,gate_30,62,1,1
168648,gate_30,75,1,0
168732,gate_30,168,0,1
169254,gate_30,327,1,0
169278,gate_30,39,1,0
170045,gate_40,133,1,1
170171,gate_30,379,1,1
170172,gate_30,43,1,0
170496,gate_30,68,1,0
170502,gate_40,337,1,1
171285,gate_40,94,1,0
171406,gate_30,470,1,1
171875,gate_30,105,1,1
171972,gate_40,62,0,1
172381,gate_40,44,1,0
172857,gate_30,73,1,1
173039,gate_30,32,1,0
173129,gate_40,69,1,1
173419,gate_40,51,0,0
173478,gate_40,378,1,1
173708,gate_40,288,1,1
173971,gate_30,44,0,0
174194,gate_40,37,0,0
174304,gate_40,81,1,1
174328,gate_30,33,1,1
174807,gate_30,128,1,0
175412,gate_30,64,0,0
175561,gate_40,435,1,1
175831,gate_40,138,1,0
176021,gate_40,229,1,1
177454,gate_30,65,1,1
177477,gate_40,36,1,0
178129,gate_40,84,1,0
178260,gate_30,47,1,0
178587,gate_40,75,1,0
178610,gate_30,62,1,0
178805,gate_40,34,0,0
179102,gate_30,210,1,1
179221,gate_40,31,1,0
179795,gate_30,402,1,1
179911,gate_30,174,1,1
179959,gate_30,388,1,1
180120,gate_40,114,1,1
180683,gate_40,51,1,0
180914,gate_30,255,1,1
181212,gate_40,80,1,1
181392,gate_30,36,0,0
182201,gate_30,320,1,1
183329,gate_30,46,1,1
183738,gate_30,52,0,0
184871,gate_40,256,1,1
185056,gate_30,143,1,1
185368,gate_30,52,0,0
185512,gate_40,934,1,1
185666,gate_40,292,1,1
185984,gate_30,41,1,0
186070,gate_40,32,1,0
186071,gate_30,48,1,0
186621,gate_40,43,1,0
186768,gate_40,33,1,0
187084,gate_30,69,1,0
187680,gate_40,83,0,0
188683,gate_40,30,0,0
188805,gate_30,84,0,0
188880,gate_30,163,0,0
189066,gate_40,61,1,0
189098,gate_30,35,1,0
189116,gate_30,129,1,0
189970,gate_40,104,1,0
190151,gate_30,36,1,0
190226,gate_40,63,1,0
190421,gate_40,294,1,1
190691,gate_30,38,1,0
190832,gate_40,64,1,1
190942,gate_40,62,0,1
191259,gate_30,155,1,1
191357,gate_40,64,0,0
191440,gate_30,56,1,0
191952,gate_40,462,0,1
192338,gate_30,57,1,0
192398,gate_30,41,1,1
192424,gate_40,181,1,1
192506,gate_40,65,1,0
193226,gate_30,89,1,1
193252,gate_30,34,1,0
194208,gate_30,37,1,0
195031,gate_30,153,1,0
195134,gate_30,33,1,0
195673,gate_30,89,1,1
195806,gate_30,30,1,0
196020,gate_40,41,0,0
196073,gate_30,53,1,1
196293,gate_40,133,1,1
196344,gate_30,217,1,1
197765,gate_40,39,1,0
197915,gate_30,299,1,1
198005,gate_40,99,1,0
198390,gate_30,59,0,1
198473,gate_40,39,1,0
198750,gate_40,41,1,1
198901,gate_30,35,1,0
199739,gate_40,196,1,0
199869,gate_30,284,1,1
199929,gate_40,59,1,1
200398,gate_40,88,1,1
200463,gate_40,393,1,1
200499,gate_40,159,1,0
200587,gate_30,40,1,1
201194,gate_40,35,1,0
201344,gate_30,32,1,0
201516,gate_30,37,1,0
201766,gate_30,34,1,1
201975,gate_40,65,0,0
203427,gate_40,40,1,1
203446,gate_40,61,1,0
203623,gate_40,123,1,0
203804,gate_30,85,1,0
204018,gate_40,33,1,0
204106,gate_40,91,1,0
204251,gate_30,750,1,1
204307,gate_30,36,1,0
204809,gate_40,67,0,1
205112,gate_40,459,1,1
205146,gate_40,261,1,1
205322,gate_30,71,0,0
205475,gate_40,109,1,1
205674,gate_40,35,1,0
205840,gate_30,49,1,0
205855,gate_30,169,1,1
205881,gate_30,45,1,0
206431,gate_40,208,1,1
206979,gate_30,35,1,0
207142,gate_30,70,1,0
207551,gate_30,121,1,0
208551,gate_30,131,1,1
208564,gate_30,226,1,1
208764,gate_40,38,1,0
209187,gate_30,47,0,0
209644,gate_40,179,1,1
209854,gate_30,61,0,1
211983,gate_30,99,1,1
212109,gate_30,58,1,1
212517,gate_40,275,1,1
212593,gate_40,83,1,0
213035,gate_40,784,0,1
213336,gate_30,38,0,1
213350,gate_40,141,1,1
213526,gate_40,152,1,1
213633,gate_30,32,0,0
213919,gate_30,41,0,0
214056,gate_40,36,0,0
214300,gate_40,131,1,1
214344,gate_40,67,1,0
214494,gate_40,30,1,0
214681,gate_40,60,0,1
215241,gate_30,33,0,0
215467,gate_40,30,0,0
215764,gate_30,314,1,1
216304,gate_30,32,1,0
216630,gate_40,71,1,0
216947,gate_30,59,0,0
217510,gate_30,101,1,0
218278,gate_40,77,1,0
218483,gate_30,34,1,0
218491,gate_30,60,1,0
218725,gate_40,195,1,0
218785,gate_40,469,1,1
219102,gate_30,55,1,0
219299,gate_30,75,1,0
219723,gate_40,75,0,0
220846,gate_40,383,1,1
221780,gate_40,99,1,1
221918,gate_30,228,1,1
221990,gate_30,196,1,1
222236,gate_40,57,0,1
222469,gate_40,165,1,1
222863,gate_40,114,1,0
222866,gate_40,39,0,0
223404,gate_40,43,1,1
223470,gate_30,33,0,0
223761,gate_30,183,1,0
223954,gate_40,57,1,0
224096,gate_40,34,1,1
225367,gate_30,324,1,1
225619,gate_40,44,1,0
225887,gate_40,102,1,1
226129,gate_30,42,1,0
226829,gate_40,101,1,1
227587,gate_40,613,1,1
227843,gate_30,194,1,1
227982,gate_30,178,1,0
228028,gate_30,30,1,0
228313,gate_30,38,0,0
228723,gate_40,299,1,1
228897,gate_40,74,1,1
229449,gate_30,181,1,1
229957,gate_40,78,0,1
230016,gate_40,514,1,1
230166,gate_30,35,0,0
230897,gate_40,60,0,1
231022,gate_30,60,1,0
231622,gate_40,90,1,0
232506,gate_30,116,1,0
232533,gate_40,154,1,0
232761,gate_30,286,1,0
233597,gate_30,589,1,1
234696,gate_30,570,1,1
235571,gate_30,37,0,0
235670,gate_30,32,1,0
235738,gate_40,164,1,1
235996,gate_40,245,1,0
236010,gate_30,195,1,0
236155,gate_30,33,1,0
236212,gate_40,162,1,1
236652,gate_40,39,1,0
237543,gate_30,289,1,0
237638,gate_40,155,1,1
238069,gate_40,256,1,1
238675,gate_40,359,1,0
238958,gate_40,41,0,1
239462,gate_40,84,1,1
239796,gate_30,229,1,1
240107,gate_30,195,1,1
240510,gate_30,32,1,0
241088,gate_30,103,1,0
241175,gate_30,45,0,1
241792,gate_40,75,1,0
242207,gate_40,40,1,1
242265,gate_40,73,0,0
242860,gate_30,40,0,0
243145,gate_40,177,1,1
243154,gate_40,151,1,0
243606,gate_40,146,1,1
244073,gate_30,196,1,1
244256,gate_40,70,1,0
244485,gate_30,126,1,1
244583,gate_40,121,1,1
244609,gate_40,51,1,0
244719,gate_40,36,1,0
245122,gate_30,35,0,0
245530,gate_30,33,0,0
245900,gate_30,238,1,1
246380,gate_40,48,0,0
247190,gate_30,40,0,0
247629,gate_40,58,1,0
247670,gate_40,39,1,0
248748,gate_30,1309,1,1
248891,gate_40,632,1,1
249689,gate_40,53,0,0
250195,gate_30,281,1,1
250696,gate_40,899,1,1
251000,gate_40,30,0,0
251156,gate_30,100,1,0
251406,gate_40,111,1,1
251472,gate_30,297,1,1
251728,gate_40,33,0,0
252138,gate_30,71,0,0
252244,gate_40,200,1,1
253036,gate_30,181,1,0
253417,gate_30,58,1,0
253657,gate_40,386,1,1
253876,gate_30,51,1,0
253937,gate_40,329,1,1
254342,gate_40,89,1,0
254573,gate_40,48,0,0
254659,gate_40,174,1,0
255077,gate_40,50,1,1
255220,gate_40,161,0,1
255470,gate_40,164,1,0
255657,gate_40,187,1,1
255897,gate_40,878,1,1
256040,gate_40,246,1,1
256429,gate_40,31,1,0
257426,gate_40,41,1,0
257472,gate_30,128,1,0
257532,gate_40,91,1,1
257615,gate_30,90,1,0
257720,gate_40,151,1,0
258332,gate_40,232,1,0
258612,gate_30,277,1,1
258720,gate_30,45,1,0
259958,gate_30,145,1,0
260019,gate_40,183,1,1
260446,gate_40,63,1,1
260523,gate_30,30,1,0
260578,gate_40,30,1,0
260720,gate_30,167,1,0
260866,gate_40,69,1,0
260901,gate_30,49,1,0
261725,gate_40,42,1,0
261811,gate_40,114,0,1
261884,gate_40,197,1,1
261973,gate_30,49,1,0
262491,gate_30,100,1,0
263178,gate_30,53,1,0
263329,gate_40,118,1,0
263382,gate_40,114,1,0
263544,gate_40,36,0,0
263912,gate_30,36,1,0
264496,gate_40,32,0,1
264514,gate_30,42,0,0
265313,gate_30,46,1,1
265700,gate_30,30,1,0
267300,gate_40,288,1,1
267461,gate_40,204,1,1
267847,gate_30,40,1,0
267912,gate_30,32,1,0
268064,gate_40,51,0,0
268232,gate_40,57,1,1
268298,gate_40,129,1,0
268314,gate_40,70,0,0
268492,gate_30,123,1,1
268517,gate_40,55,1,0
268756,gate_40,232,1,0
268946,gate_40,387,1,1
269182,gate_30,312,1,1
270187,gate_30,80,1,1
270229,gate_40,77,1,0
270262,gate_40,142,1,1
270389,gate_40,36,1,0
270655,gate_40,55,1,1
272133,gate_30,192,1,1
273122,gate_40,35,1,0
273438,gate_30,38,1,0
273607,gate_30,311,1,1
273679,gate_30,184,0,0
274306,gate_30,128,1,1
274744,gate_30,37,1,0
274858,gate_30,63,1,0
275121,gate_30,279,1,1
276656,gate_30,38,1,1
277023,gate_40,68,0,0
277579,gate_30,177,1,1
278277,gate_30,50,0,0
278692,gate_40,47,1,0
278716,gate_30,166,1,1
279168,gate_40,161,1,1
279465,gate_40,32,1,1
279778,gate_30,355,1,1
280253,gate_40,57,1,1
280315,gate_30,47,0,0
280520,gate_40,78,1,0
280982,gate_40,191,0,1
281112,gate_40,34,0,0
281736,gate_40,116,1,1
281799,gate_30,73,0,0
282754,gate_30,33,1,0
282985,gate_30,96,1,0
283014,gate_30,56,1,1
283136,gate_40,204,1,1
283707,gate_30,135,1,1
283731,gate_40,299,1,1
284007,gate_30,160,1,1
284610,gate_30,1252,1,1
284733,gate_30,104,1,1
284742,gate_40,135,1,1
285321,gate_40,49,0,0
285352,gate_40,79,1,1
285383,gate_40,39,0,1
285566,gate_40,34,0,0
285915,gate_30,45,0,0
286027,gate_30,34,1,0
286117,gate_30,53,1,0
286852,gate_40,278,1,1
287161,gate_40,78,0,1
287170,gate_40,115,1,1
287270,gate_40,98,1,1
287858,gate_40,37,1,0
288429,gate_40,101,1,0
288520,gate_40,34,1,0
289113,gate_40,111,1,1
289427,gate_40,32,1,0
289450,gate_40,38,1,0
289969,gate_40,124,1,1
290045,gate_40,38,1,0
290179,gate_40,232,1,0
290386,gate_30,100,0,0
290419,gate_30,42,1,1
290547,gate_30,31,1,0
290659,gate_30,46,1,1
291447,gate_40,37,1,0
291706,gate_30,46,1,0
292402,gate_40,57,1,0
292701,gate_30,385,1,1
293045,gate_40,61,1,0
293232,gate_40,54,1,1
293413,gate_40,97,1,0
293662,gate_40,40,1,0
293680,gate_40,38,0,0
294171,gate_40,57,1,0
294254,gate_40,245,1,0
294376,gate_40,1315,1,1
295213,gate_40,464,1,1
295300,gate_30,57,1,1
295729,gate_30,131,1,1
296148,gate_40,230,1,1
296163,gate_40,80,1,1
296635,gate_30,65,0,1
296922,gate_30,30,0,0
297032,gate_40,45,1,1
297504,gate_40,61,1,1
297557,gate_30,30,0,0
297748,gate_30,254,1,0
297979,gate_30,222,1,1
298102,gate_40,31,0,0
298519,gate_40,36,0,0
298697,gate_30,63,1,0
298753,gate_40,100,1,1
298852,gate_30,39,1,0
299468,gate_40,135,1,0
299832,gate_30,77,1,0
299840,gate_30,246,1,1
299944,gate_40,81,1,1
300473,gate_40,58,1,0
300711,gate_40,98,1,0
301385,gate_30,176,1,1
301781,gate_30,47,1,1
301845,gate_40,456,1,1
302342,gate_40,316,0,1
302519,gate_40,121,1,1
302650,gate_40,45,1,0
302847,gate_40,68,1,1
303020,gate_40,52,1,1
303201,gate_30,31,0,0
304120,gate_30,30,1,0
304618,gate_40,83,0,1
304866,gate_40,138,1,0
304972,gate_30,106,1,0
305345,gate_40,79,1,1
305472,gate_40,37,1,0
305972,gate_30,83,1,0
306210,gate_40,178,1,1
306596,gate_40,91,0,0
306725,gate_40,55,0,1
307029,gate_40,41,1,0
307109,gate_30,38,0,0
307347,gate_30,57,1,0
307441,gate_40,113,1,1
307674,gate_30,45,1,1
307714,gate_30,43,0,0
308041,gate_40,52,0,1
308304,gate_30,62,1,1
308443,gate_40,100,1,0
308609,gate_40,139,1,1
308663,gate_40,202,1,1
308806,gate_30,69,1,1
308949,gate_40,71,1,1
310626,gate_40,43,1,0
310823,gate_40,39,1,0
310957,gate_30,92,1,0
311333,gate_30,52,1,0
311426,gate_40,600,1,1
311542,gate_30,124,0,0
312092,gate_40,57,1,1
